provider_id,specialization,region
PRV-00182,anesthesiology,WEST
PRV-00183,radiology,WEST
PRV-00184,cardiology,NORTHEAST
PRV-00185,neurology,PACIFIC
PRV-00186,pediatrics,SOUTH
PRV-00187,pediatrics,NORTHEAST
PRV-00188,neurology,MIDWEST
PRV-00189,general_surgery,PACIFIC
PRV-00190,orthopedics,WEST
PRV-00191,radiology,SOUTH
PRV-00192,anesthesiology,PACIFIC
PRV-00193,orthopedics,PACIFIC
PRV-00194,general_surgery,SOUTH
PRV-00195,psychiatry,WEST
PRV-00196,orthopedics,WEST
PRV-00197,pediatrics,WEST
PRV-00198,general_surgery,PACIFIC
PRV-00199,psychiatry,MIDWEST
PRV-00200,emergency_medicine,SOUTH
PRV-00201,anesthesiology,NORTHEAST
PRV-00202,neurology,WEST
PRV-00203,neurology,WEST
PRV-00204,anesthesiology,NORTHEAST
PRV-00205,emergency_medicine,PACIFIC
PRV-00206,anesthesiology,MIDWEST
PRV-00207,emergency_medicine,NORTHEAST
PRV-00208,orthopedics,SOUTH
PRV-00209,psychiatry,SOUTH
PRV-00210,general_surgery,SOUTH
PRV-00211,neurology,SOUTH
PRV-00212,cardiology,SOUTH
PRV-00213,general_surgery,WEST
PRV-00214,cardiology,WEST
PRV-00215,anesthesiology,MIDWEST
PRV-00216,emergency_medicine,MIDWEST
PRV-00217,emergency_medicine,WEST
PRV-00218,anesthesiology,WEST
PRV-00219,anesthesiology,NORTHEAST
PRV-00220,dermatology,SOUTH
PRV-00221,neurology,NORTHEAST
PRV-00222,orthopedics,SOUTH
PRV-00223,general_surgery,WEST
PRV-00224,orthopedics,SOUTH
PRV-00225,general_surgery,WEST
PRV-00226,dermatology,SOUTH
PRV-00227,cardiology,NORTHEAST
PRV-00228,pediatrics,WEST
PRV-00229,internal_medicine,PACIFIC
PRV-00230,anesthesiology,PACIFIC
PRV-00231,orthopedics,NORTHEAST
PRV-00232,general_surgery,NORTHEAST
PRV-00233,psychiatry,MIDWEST
PRV-00234,radiology,NORTHEAST
PRV-00235,general_surgery,MIDWEST
PRV-00236,emergency_medicine,NORTHEAST
PRV-00237,psychiatry,PACIFIC
PRV-00238,dermatology,NORTHEAST
PRV-00239,internal_medicine,WEST
PRV-00240,anesthesiology,MIDWEST
PRV-00241,psychiatry,MIDWEST
PRV-00242,pediatrics,WEST
PRV-00243,radiology,MIDWEST
PRV-00244,dermatology,SOUTH
PRV-00245,family_medicine,SOUTH
PRV-00246,general_surgery,MIDWEST
PRV-00247,cardiology,SOUTH
PRV-00248,emergency_medicine,PACIFIC
PRV-00249,general_surgery,WEST
PRV-00250,psychiatry,PACIFIC
PRV-00251,dermatology,SOUTH
PRV-00252,dermatology,NORTHEAST
PRV-00253,cardiology,PACIFIC
PRV-00254,radiology,SOUTH
PRV-00255,orthopedics,MIDWEST
PRV-00256,psychiatry,PACIFIC
PRV-00257,internal_medicine,WEST
PRV-00258,psychiatry,WEST
PRV-00259,radiology,WEST
PRV-00260,anesthesiology,PACIFIC
PRV-00261,psychiatry,SOUTH
PRV-00262,anesthesiology,PACIFIC
PRV-00263,family_medicine,WEST
PRV-00264,pediatrics,MIDWEST
PRV-00265,emergency_medicine,NORTHEAST
PRV-00266,dermatology,MIDWEST
PRV-00267,psychiatry,NORTHEAST
PRV-00268,internal_medicine,WEST
PRV-00269,dermatology,WEST
PRV-00270,internal_medicine,WEST
PRV-00271,radiology,NORTHEAST
PRV-00272,orthopedics,MIDWEST
PRV-00273,orthopedics,PACIFIC
PRV-00274,family_medicine,NORTHEAST
PRV-00275,family_medicine,PACIFIC
PRV-00276,radiology,PACIFIC
PRV-00277,neurology,SOUTH
PRV-00278,cardiology,SOUTH
PRV-00279,anesthesiology,PACIFIC
PRV-00280,internal_medicine,NORTHEAST
PRV-00281,internal_medicine,WEST
PRV-00282,dermatology,WEST
PRV-00283,family_medicine,WEST
PRV-00284,pediatrics,MIDWEST
PRV-00285,internal_medicine,SOUTH
PRV-00286,family_medicine,WEST
PRV-00287,radiology,MIDWEST
PRV-00288,internal_medicine,WEST
PRV-00289,dermatology,NORTHEAST
PRV-00290,anesthesiology,NORTHEAST
PRV-00291,anesthesiology,NORTHEAST
PRV-00292,pediatrics,PACIFIC
PRV-00293,radiology,PACIFIC
PRV-00294,anesthesiology,WEST
PRV-00295,general_surgery,NORTHEAST
PRV-00296,cardiology,SOUTH
PRV-00297,orthopedics,NORTHEAST
PRV-00298,emergency_medicine,MIDWEST
PRV-00299,anesthesiology,NORTHEAST
PRV-00300,internal_medicine,PACIFIC
PRV-00301,radiology,MIDWEST
PRV-00302,pediatrics,MIDWEST
PRV-00303,orthopedics,SOUTH
PRV-00304,emergency_medicine,WEST
PRV-00305,family_medicine,PACIFIC
PRV-00306,cardiology,WEST
PRV-00307,general_surgery,NORTHEAST
PRV-00308,internal_medicine,PACIFIC
PRV-00309,emergency_medicine,NORTHEAST
PRV-00310,pediatrics,MIDWEST
PRV-00311,pediatrics,NORTHEAST
PRV-00312,dermatology,WEST
PRV-00313,neurology,MIDWEST
PRV-00314,psychiatry,MIDWEST
PRV-00315,anesthesiology,SOUTH
PRV-00316,general_surgery,MIDWEST
PRV-00317,emergency_medicine,NORTHEAST
PRV-00318,radiology,SOUTH
PRV-00319,emergency_medicine,SOUTH
PRV-00320,pediatrics,MIDWEST
PRV-00321,radiology,SOUTH
PRV-00322,emergency_medicine,MIDWEST
PRV-00323,neurology,SOUTH
PRV-00324,anesthesiology,SOUTH
PRV-00325,cardiology,NORTHEAST
PRV-00326,anesthesiology,NORTHEAST
PRV-00327,family_medicine,SOUTH
PRV-00328,neurology,MIDWEST
PRV-00329,general_surgery,PACIFIC
PRV-00330,cardiology,MIDWEST
PRV-00331,cardiology,WEST
PRV-00332,radiology,PACIFIC
PRV-00333,radiology,SOUTH
PRV-00334,orthopedics,MIDWEST
PRV-00335,orthopedics,PACIFIC
PRV-00336,emergency_medicine,SOUTH
PRV-00337,general_surgery,SOUTH
PRV-00338,cardiology,NORTHEAST
PRV-00339,cardiology,MIDWEST
PRV-00340,cardiology,NORTHEAST
PRV-00341,internal_medicine,PACIFIC
PRV-00342,dermatology,SOUTH
PRV-00343,anesthesiology,WEST
PRV-00344,neurology,MIDWEST
PRV-00345,cardiology,WEST
PRV-00346,family_medicine,NORTHEAST
PRV-00347,emergency_medicine,WEST
PRV-00348,anesthesiology,PACIFIC
PRV-00349,internal_medicine,PACIFIC
PRV-00350,orthopedics,NORTHEAST
